x
605	DHX36
606	ARID2
607	SLIT2
608	PCP4
609	FLI1
610	MFSD4A
611	DIO2
612	EZH1
613	SLC25A22
614	MTRFR
615	NEFH
616	CAMK4
617	SLC20A2
618	KCNAB1
619	SLC2A3
620	UBR5
621	MECOM
622	GNAS
623	REL
624	CAMK2B
625	GNG2
626	RHEB
627	WWC1
628	UBAP1
629	SV2B
630	RLF
631	GPX4
632	SLC9A6
633	KCNB1
634	LRFN1
635	CYP7A1
636	MCCC1
637	GLOD4
638	NOP2
639	NPAS3
640	HTR4
641	DHX9
642	SLC11A1
643	TFEB
644	NAPA
645	DAPK1
646	NR1I3
647	DOCK1
648	AASDHPPT
649	UCHL1
650	MAGEF1
651	TPM3
652	TRAPPC1
653	NKTR
654	TSTD1
655	SYNGR1
656	ADI1
657	PTS
658	SLC8A1
659	ELAVL3
660	TMEM9B
661	TMEM235
662	KCNB1
663	DYNC1I1
664	ITPK1-AS1
665	ANKRD40
666	ERVK13-1
667	SLC11A1
668	LOC101929748
669	CP
670	NAGK
671	ILK
672	GNB4
673	USP36
674	VPS13D
675	ITGB2-AS1
676	F8
677	MRPL40
678	CALHM2
679	NRIP3
680	GABRB3
681	LRRC7
682	GAP43
683	MAPRE3
684	NANS
685	MICOS10
686	CFAP46
687	RC3H2
688	NETO2
689	SLC4A8
690	PPIA
691	FUT8-AS1
692	JOSD1
693	CFDP1
694	MARVELD2
695	SYT17
696	NEFM
697	ATP6V1G2
698	HFM1
699	NAT8L
700	FABP7
701	PON2
702	REL
703	PDCD1LG2
704	RHOF
705	LDOC1
706	TPBGL
707	DPCD
708	DPY19L2P2
709	LOC102723704
710	NRXN3
711	SIAH2
712	GIMAP1
713	C16orf54
714	TMED10
715	PDK2
716	PHF1
717	TSR3
718	GAB1
719	HOOK1
720	SREK1
721	SKIDA1
722	CCDC85B
723	ZCCHC17
724	CNTN1
725	ARHGEF3
726	HSPA4
727	TMEM50A
728	STN1
729	RNPS1
730	NEFL
731	PCYT1B
732	ZNF677
733	RECQL
734	MVB12B
735	XRN1
736	UPRT
737	SH3GLB2
738	RAB2A
739	UBE2QL1
740	NCSTN
741	LIMS1
742	PPP1R7
743	SLC2A1
744	MOAP1
745	HSPA4
746	CLDN11
747	TSHZ2
748	LAMTOR5
749	MAP2K1
750	SCN4B
751	WDR70
752	CDK5R2
753	ATP11A-AS1
754	SAMD12
755	HS6ST3
756	NUP58
757	CHCHD10
758	LINC00692
759	NCKAP1
760	TBL1X
761	CD44
762	STXBP1
763	CNTN2
764	ID4
765	KCNIP2
766	SLC6A20
767	ATP6V0C
768	CDH8
769	KCNAB2
770	ERC2
771	AATK
772	ORMDL3
773	WIPF3
774	TRIM23
775	AP1S1
776	DNAJA4
777	C2orf68
778	OSCAR
779	GAREM1
780	SCN8A
781	DYNLL1
782	SLC28A1
783	CEP43
784	SNAP29
785	ARNT2
786	HECTD4
787	BCL6
788	RPS6KA6
789	HS6ST3
790	SLC10A7
791	PPP3CB-AS1
792	DAB2
793	KCNG3
794	FGF13
795	SLITRK4
796	CEP43
797	BBLN
798	MDM2
799	GATA3
800	PIK3R1
801	KCNIP2
802	SYN1
803	VPS13B-DT
804	PEX5
805	ATP6V1A
806	TMEM132B
807	SPRY1
808	LAMP5
809	CCDC126
810	LOC105373383
811	ITGB3BP
812	PTPDC1
813	LAMTOR3
814	ZNF561-AS1
815	CMIP
816	ZNF558
817	ZFP36L2
818	KIF3C
819	ARFGEF1
820	SILC1
821	MMP24
822	ATP6
823	NAV2
824	NPTX1
825	NKIRAS2
826	MAN1A1
827	TRIM4
828	PLEKHO2
829	ATP5MC3
830	FRY
831	DZIP3
832	AGAP2
833	POLR1B
834	SSH2
835	UQCRC2
836	GNPNAT1
837	ATP1A3
838	LDB2
839	FAM161B
840	ANXA4
841	MAGEE1
842	MOXD1
843	CAB39
844	COG6
845	MRPS33
846	TRMT44
847	MED30
848	IFNG
849	CABP4
850	HSPH1
851	DGCR8
852	GAP43
853	STX17
854	TNRC6C
855	CPLX2
856	ERG
857	PDLIM5
858	SRR
